7zip 24.09-3
vulkan-icd-loader 1.4.313.0-1
vulkan-tools 1.4.313.0-1
wacomtablet 6.4.2-1
wasi-compiler-rt 20.1.6-1
wasi-libc 1:0+410+574b88da-2
wasi-libc++ 20.1.6-2
wasi-libc++abi 20.1.6-2
wavpack 5.8.1-1
wayland 1.23.1-2
wayland-utils 1.2.0-2
webrtc-audio-processing-1 1.3-5
webstorm 2025.1.3-1
webstorm-jre 2025.1.3-1
wget 1.25.0-2
which 2.23-1
wildmidi 0.4.6-1
wimlib 1.14.4-2
wireless_tools 30.pre9-4
wireplumber 0.5.10-1
woeusb 5.2.4-1
wpa_supplicant 2:2.11-3
wxwidgets-common 3.2.8.1-2
wxwidgets-gtk3 3.2.8.1-2
x264 3:0.164.r3108.31e19f9-2
x265 4.1-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xclip 0.13-6
xdg-desktop-portal 1.20.3-1
xdg-desktop-portal-kde 6.4.2-1
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xf86-input-libinput 1.5.0-1
xf86-input-wacom 1.2.3-1
xkeyboard-config 2.45-1
xmlsec 1.3.7-2
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.18-2
xorg-server-common 21.1.18-2
xorg-server-xvfb 21.1.18-2
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.4-1
xorg-xdpyinfo 1.3.4-2
xorg-xinit 1.4.4-1
xorg-xkbcomp 1.4.7-1
xorg-xmessage 1.0.7-1
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xwayland 24.1.8-1
xorgproto 2024.1-2
xsettingsd 1.0.2-3
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.1-1
yarn 1.22.22-2
yasm 1.3.0-8
yay 12.5.0-1
yay-debug 12.5.0-1
yazi 25.5.31-1
yt-dlp 2025.06.30-1
zbar 0.23.93-4
zen 0.8.20200819LTS-1
zen-browser-bin 1.13.2b-3
zen-debug 0.8.20200819LTS-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.4-1
zram-generator 1.2.1-1
zstd 1.5.7-2
zvbi 0.2.44-1
zxing-cpp 2.3.0-5
