7zip 24.09-3
jbigkit 2.1-8
json-c 0.18-2
json-glib 1.10.6-1
jsoncpp 1.9.6-3
kaccounts-integration 25.04.3-1
kactivitymanagerd 6.4.2-1
kamoso 25.04.3-1
karchive 6.15.0-1
karchive5 5.116.0-1
kate 25.04.3-1
kauth 6.15.0-1
kauth5 5.116.0-1
kbd 2.8.0-1
kbookmarks 6.15.0-1
kbookmarks5 5.116.0-1
kcmutils 6.15.0-1
kcmutils5 5.116.0-1
kcodecs 6.15.0-1
kcodecs5 5.116.0-1
kcolorscheme 6.15.0-1
kcompletion 6.15.0-1
kcompletion5 5.116.0-1
kconfig 6.15.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.15.0-1
kconfigwidgets5 5.116.0-1
kcontacts 1:6.15.0-1
kcoreaddons 6.15.0-1
kcoreaddons5 5.116.0-1
kcrash 6.15.0-1
kcrash5 5.116.0-1
kdbusaddons 6.15.0-1
kdbusaddons5 5.116.0-1
kde-cli-tools 6.4.2-1
kde-gtk-config 6.4.2-1
kdeclarative 6.15.0-1
kdeclarative5 5.116.0-1
kdeconnect 25.04.3-1
kdecoration 6.4.2-1
kded 6.15.0-1
kded5 5.116.0-1
kdeplasma-addons 6.4.2-1
kdesu 6.15.0-1
kdnssd 6.15.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keyutils 1.6.3-3
kfilemetadata 6.15.0-1
kgamma 6.4.2-1
kglobalaccel 6.15.0-1
kglobalaccel5 5.116.0-1
kglobalacceld 6.4.2-1
kguiaddons 6.15.0-1
kguiaddons5 5.116.0-1
kholidays 1:6.15.0-1
ki18n 6.15.0-1
ki18n5 5.116.0-1
kiconthemes 6.15.0-1
kiconthemes5 5.116.0-1
kidletime 6.15.0-1
kinfocenter 6.4.2-1
kio 6.15.0-1
kio-extras 25.04.3-1
kio-fuse 5.1.0-5
kio5 5.116.0-2
kirigami 6.15.0-2
kirigami-addons 1.9.0-1
kirigami2 5.116.0-1
kitemmodels 6.15.0-1
kitemviews 6.15.0-1
kitemviews5 5.116.0-1
kitty 0.42.1-1
kitty-shell-integration 0.42.1-1
kitty-terminfo 0.42.1-1
kjobwidgets 6.15.0-1
kjobwidgets5 5.116.0-1
kmenuedit 6.4.2-1
kmod 34.2-1
knewstuff 6.15.0-1
knotifications 6.15.0-1
knotifications5 5.116.0-1
knotifyconfig 6.15.0-1
konsole 25.04.3-1
kpackage 6.15.0-1
kpackage5 5.116.0-1
kparts 6.15.0-1
kpeople 6.15.0-1
kpipewire 6.4.2-1
kpty 6.15.0-1
kqtquickcharts 25.04.3-1
kquickcharts 6.15.0-1
krb5 1.21.3-2
krdp 6.4.2-1
krunner 6.15.0-1
kscreen 6.4.2-1
kscreenlocker 6.4.2-1
kservice 6.15.0-1
kservice5 5.116.0-1
ksshaskpass 6.4.2-1
kstatusnotifieritem 6.15.0-1
ksvg 6.15.0-1
ksystemstats 6.4.2-1
ktexteditor 6.15.0-1
ktextwidgets 6.15.0-1
ktextwidgets5 5.116.0-1
ktouch 25.04.3-1
kunitconversion 6.15.0-1
kuserfeedback 6.15.0-1
kwallet 6.15.0-1
kwallet-pam 6.4.2-1
kwallet5 5.116.0-3
kwayland 6.4.2-1
kwidgetsaddons 6.15.0-1
kwidgetsaddons5 5.116.0-1
kwin 6.4.2-1
kwindowsystem 6.15.0-1
kwindowsystem5 5.116.0-1
kwrited 6.4.2-1
kxmlgui 6.15.0-1
kxmlgui5 5.116.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.1-2
layer-shell-qt 6.4.2-1
lcms2 2.17-1
ldb 2:4.22.3-1
leancrypto 1.5.0-1
less 1:668-1
libabw 0.1.3-5
libaccounts-glib 1.27-3
libaccounts-qt 1.17-1
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.8.1-1
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libatomic_ops 7.8.2-1
libavc1394 0.5.4-6
libavtp 0.2.0-3
libayatana-appindicator 0.5.94-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libblake3 1.8.2-1
libblockdev 3.3.1-1
libblockdev-crypto 3.3.1-1
libblockdev-fs 3.3.1-1
libblockdev-loop 3.3.1-1
libblockdev-mdraid 3.3.1-1
libblockdev-nvme 3.3.1-1
libblockdev-part 3.3.1-1
libblockdev-swap 3.3.1-1
libbluray 1.3.4-3
libbpf 1.5.1-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libbytesize 2.11-1
libcaca 0.99.beta20-5
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.76-1
libcap-ng 0.8.5-3
libcdio 2.2.0-1
libcdio-paranoia 10.2+2.0.2-1
libcdr 0.1.8-2
libcgif 0.5.0-1
libcloudproviders 0.3.6-2
libcmis 0.6.2-5
libcolord 1.4.8-1
libcups 2:2.4.12-2
libcurl-gnutls 8.14.1-1
libdaemon 0.14-6
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdbusmenu-qt5 0.9.3+16.04.20160218-7
libdc1394 2.2.7-1
libdca 0.0.7-2
libde265 1.0.16-1
libdecor 0.2.3-1
libdeflate 1.23-1
libdisplay-info 0.2.0-2
libdmtx 0.7.8-1
libdovi 3.3.1-1
libdrm 2.4.125-1
libdv 1.0.0-11
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libe-book 0.1.3-18
libebur128 1.2.6-2
libedit 20250104_3.1-1
libei 1.4.1-1
libelf 0.193-2
libepoxy 1.5.10-3
libepubgen 0.1.1-5
libetonyek 0.1.12-3
libevdev 1.13.4-1
libevent 2.1.12-4
libexif 0.6.25-1
libexttextcat 3.4.7-1
libfakekey 0.3-3
libfdk-aac 2.0.3-1
libffi 3.5.1-1
libfontenc 1.1.8-1
libfreeaptx 0.2.2-1
libfreehand 0.1.2-5
libgcrypt 1.11.1-1
libgirepository 1.84.0-2
libglvnd 1.7.0-3
libgme 0.6.4-1
libgpg-error 1.55-1
libgudev 238-3
libice 1.1.2-1
libidn2 2.3.7-1
libiec61883 1.2.0-8
libimagequant 4.3.4-1
libime 1.1.11-1
libimobiledevice 1.3.0-16
libimobiledevice-glue 1.3.2-1
libinih 58-1
libinput 1.28.1-1
libinstpatch 1.1.7-2
libisl 0.27-1
libixion 0.20.0-2
libjpeg-turbo 3.1.1-1
libjxl 0.11.1-4
libkexiv2 25.04.3-1
libksba 1.6.7-2
libkscreen 6.4.2-1
libksysguard 6.4.2-1
liblangtag 0.6.7-2
liblc3 1.1.3-1
libldac 2.0.2.3-2
libldap 2.6.10-1
liblqr 0.4.3-1
liblrdf 0.6.1-5
libltc 1.3.2-2
libluv 1.48.0_2-1
libmbim 1.32.0-1
libmd 1.1.0-2
libmicrodns 0.2.0-2
libmm-glib 1.24.0-2
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmpc 1.3.1-2
libmpcdec 1:0.1+r475-6
libmspack 1:1.11-1
libmspub 0.1.4-17
libmtp 1.1.22-1
libmwaw 0.3.22-3
libmysofa 1.3.3-1
libndp 1.9-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.25-1
libnfnetlink 1.0.2-2
libnftnl 1.2.9-1
libnghttp2 1.66.0-1
libnghttp3 1.10.1-1
libnice 0.1.22-2
libnl 3.11.0-1
libnm 1.52.0-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnotify 0.8.6-1
libnsl 2.0.1-1
libnumbertext 1.0.11-2
libnvme 1.13-1
libodfgen 0.1.8-4
libogg 1.3.5-2
libopenmpt 0.8.1-1
liborcus 0.20.1-1
libp11-kit 0.25.5-1
libpagemaker 0.0.4-4
libpcap 1.10.5-3
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipeline 1.5.8-1
libpipewire 1:1.4.6-1
libplacebo 7.351.0-1
libplasma 6.4.2-1
libplist 2.7.0-1
libpng 1.6.50-1
libproxy 0.5.10-1
libpsl 0.21.5-2
libpulse 17.0+r43+g3e2bb8a1e-1
libqaccessibilityclient-qt6 0.6.0-1
libqalculate 5.6.0-1
libqmi 1.36.0-1
libqrtr-glib 1.2.2-4
libqxp 0.0.2-13
libraqm 0.10.2-1
libraw1394 2.1.2-4
libreoffice-fresh 25.2.4-2
librevenge 0.0.5-3
librsvg 2:2.60.0-2
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.5.6-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libsigc++-3.0 3.6.0-1
libsixel 1.10.5-1
libsm 1.2.6-1
libsndfile 1.2.2-3
libsodium 1.0.20-1
libsoup3 3.6.5-1
libsoxr 0.1.3-4
libsrtp 1:2.7.0-1
libssh 0.11.2-1
libssh2 1.11.1-1
libstaroffice 0.0.7-4
libstemmer 3.0.1-1
libsysprof-capture 48.0-5
libtasn1 4.20.0-1
libteam 1.32-2
libthai 0.1.29-3
libtheora 1.2.0-1
libtiff 4.7.0-1
libtirpc 1.3.6-2
libtommath 1.3.0-1
libtool 2.5.4+r23+g5b582aed-1
libtorrent-rasterbar 1:2.0.11-4
libunibreak 6.1-1
libunistring 1.3-1
libunwind 1.8.2-1
liburing 2.11-1
libusb 1.0.29-1
libusbmuxd 2.1.1-1
libutempter 1.2.3-1
libutf8proc 2.10.0-1
libuv 1.51.0-1
libva 2.22.0-1
libvdpau 1.5-3
libverto 0.3.2-5
libvips 8.16.1-2
libvisio 0.1.8-3
libvorbis 1.3.7-4
libvpl 2.15.0-1
libvpx 1.15.0-1
libvterm 0.3.3-2
libwacom 2.16.1-1
libwbclient 2:4.22.3-1
libwebp 1.5.0-1
